time,pelvis_tx,pelvis_ty,pelvis_tilt,q_hip_r,q_knee_r,q_ankle_r,q_hip_l,q_knee_l,q_ankle_l,dq_pelvis_tx,dq_pelvis_ty,dq_pelvis_tilt,dq_q_hip_r,dq_q_knee_r,dq_q_ankle_r,dq_q_hip_l,dq_q_knee_l,dq_q_ankle_l,ddq_pelvis_tx,ddq_pelvis_ty,ddq_pelvis_tilt,ddq_q_hip_r,ddq_q_knee_r,ddq_q_ankle_r,ddq_q_hip_l,ddq_q_knee_l,ddq_q_ankle_l
0.0,-1.5000000000000002e-05,0.03173661824323571,-0.033227279738741074,0.3333710235663167,-0.07850954718192767,-0.039185973765615334,-0.1689449760905069,-0.2486767802854555,0.14863494624405693,0.17590907711186135,-0.09815116876908637,0.40411420466950265,-0.42374951533853866,-2.076807032002724,-3.001367686289416,-0.6335501661981179,-2.0423782553797105,-0.5042901946406362,6.173008215233684,1.3294145641280477,12.89230556228401,-46.324091210499375,3.5840634602155754,-82.35223265979916,-7.786342652308529,-15.45657742015091,-27.41066497730633
0.01,0.0018784965256655197,0.03086040007544838,-0.02925535989883572,0.32807907230506145,-0.09881768521976698,-0.06159509457158725,-0.17327015383784286,-0.27248964515577273,0.14152533065157774,0.18936620854404995,-0.08760791839736241,0.3971987014524035,-0.5292802223774804,-2.030787161056703,-2.240357138248967,-0.43232070141753115,-2.3816335665411854,-0.711226501365391,1.3460551310000184,1.0546918182355358,-0.6901029443623468,-10.550983314331818,4.599960811627991,76.07974475631903,20.122677672652312,-33.92665897308075,-20.69999369410415
0.02,0.003927541264083699,0.03012487285404764,-0.02524070641057609,0.32209913050583744,-0.11913554708494459,-0.07813347491387443,-0.17554182098853116,-0.2998519173258261,0.1317299411739098,0.20490116589277166,-0.07352261156912186,0.4013977385187859,-0.5976145762383741,-2.032637045789963,-1.6518129573851,-0.22654944894632084,-2.7370958992329015,-0.9801251561864638,1.549735327595381,1.408769625953922,0.4115356328685986,-6.776668075987717,-0.27834280913871395,58.9489133191515,20.60016270154314,-35.56425307405788,-26.895681108438662
0.03,0.0059678830558608205,0.02954454266633276,-0.021542142574710803,0.31793250290228087,-0.143640120702429,-0.08425042395987677,-0.1747216964908091,-0.33159066324085135,0.11888510440470539,0.20405508948515355,-0.057976264495417075,0.3698342854873518,-0.4164131561083444,-2.451414455947088,-0.6079311802672667,0.08288398595594113,-3.175183630678213,-1.285679543121901,-0.08193627882724641,1.5558312429816272,-3.148155633849915,18.087121907485002,-41.84478351820757,104.46314980317858,30.937730384296927,-43.80939425584142,-30.588123447440243
0.04,0.008103935927890034,0.02916173725384882,-0.01785159912965519,0.3141340498423584,-0.17050667093862223,-0.07888188370551125,-0.17107861820028922,-0.3676431193746947,0.10182771312862651,0.21371611932897627,-0.03818215333995019,0.369240050032508,-0.38104026190025214,-2.685162997380254,0.5381314102339968,0.3651348044375276,-3.606727244357084,-1.7079764771896995,0.974667901246517,1.9817565444495295,-0.03720688908307571,3.3795452558425207,-23.089037411838365,114.22000282490953,28.190484961872833,-43.12712819805538,-42.29607002486942
0.05,0.010468543806196013,0.029024088447519886,-0.013814486038091283,0.30775018085801004,-0.19411831611571168,-0.06997057457213623,-0.16505782755534154,-0.40760425841198766,0.07900219670166829,0.2364350576950635,-0.013650285385435435,0.4035498704120401,-0.6385036314259092,-2.360931790926693,0.893788918048714,0.6040734332687373,-3.998544727453253,-2.285785897941263,2.2549326283224516,2.452320611543249,3.3903451545809378,-25.60416308353458,32.25458203188664,35.67532924759537,23.993051704243545,-39.24150889394866,-57.82612180187909
0.06,0.01269109900339647,0.029107613236685145,-0.01031471871289821,0.30202671821911,-0.21849221371160885,-0.05469606085397327,-0.15457618824289035,-0.4526385867181673,0.04944500004494521,0.22193125495148966,0.008458565358976078,0.34909313443741835,-0.5695741634341976,-2.4411136575490477,1.5339220689231845,1.0519991967290545,-4.506924112648786,-2.960305413315126,-1.4806731849839556,2.207640258809656,-5.5169040991617795,7.193634753553101,-8.431521316958587,64.35209378469823,44.941467840108416,-50.89723535968967,-67.52470704094763
0.07,0.014460470310198594,0.02937518270935712,-0.008048690896431069,0.2996208502815776,-0.24692946094310714,-0.03125298351026224,-0.13823124897120886,-0.5028724906846765,0.011665808745327383,0.17685519594076965,0.026900096848750932,0.22638326556081317,-0.24169637246740977,-2.840955106466641,2.3430983389093547,1.6370994481358168,-5.025313968979748,-3.7849736611287823,-4.477004726913528,1.846154376992734,-12.187213669313321,32.339284573531124,-39.24959442079685,80.0132915545526,58.3170520783961,-51.61703650614692,-82.642816726511
0.08,0.016118565131081838,0.02984115700732295,-0.006057973299883659,0.29541457763545553,-0.27105540231071545,-0.01016321860669344,-0.11835723153271985,-0.5553340226863992,-0.036959378410340596,0.16573735096786385,0.046736423900433345,0.19895270366822845,-0.4225584112054879,-2.4083678520820273,2.1056003345902967,1.9896645970227778,-5.246595321852739,-4.872843268000587,-1.1095636955557167,1.9810920170270496,-2.729445598772482,-18.15466568638146,43.36827652794491,-23.9556834765365,35.18270167817465,-21.946799590009277,-109.02054017833335
0.09,0.01767082708515805,0.030473128837653598,-0.0042418568508955255,0.2888779254256288,-0.28993670888393663,0.006908125801511616,-0.09593519993851747,-0.6074253414155704,-0.09917771642555084,0.15509620215073472,0.06332430391433912,0.18139734790716502,-0.6555096542411579,-1.8836238160656096,1.7040910081262661,2.2437704675758545,-5.206615341781212,-6.235382872038657,-1.0691582934285364,1.6557678901680999,-1.7638328460737798,-23.261246745338774,52.448825092329955,-40.07300412402552,25.309565290192133,4.309190573734272,-136.45364417093458
0.1,0.01906321939472055,0.031233079783850266,-0.002686060971427008,0.28041834458581844,-0.30401166379323474,0.021010586944613524,-0.07204934423403118,-0.6559230649647211,-0.17686085700550247,0.13904798472374474,0.07608990489509827,0.15527481267270687,-0.847548400683533,-1.403259326328582,1.40828559119131,2.3893835286818152,-4.844448371275249,-7.784350977232348,-1.6096548856345128,1.2717655240716053,-2.6191370611194524,-19.156476522255996,47.95679670457454,-29.4338137503388,14.463888502788308,36.47770096015511,-154.99824473901293
