time,force_r_x,force_r_y,cop_r_x,force_l_x,force_l_y,cop_l_x
0.0,-7.648758154993975,20.37551220774056,0.1781032157699118,133.6935439707773,1054.4771345310137,-0.1471703781354221
0.01,12.360944709648686,48.72307212414704,0.20938022767262396,147.3551324735249,1043.02603490527,-0.15695071115586678
0.02,25.1409584811072,115.19368743187944,0.1910342773140462,160.8359639655505,1018.8554315655559,-0.16628605051248713
0.03,28.907131012212897,197.4049516035703,0.1726756475618797,173.75509019098374,978.4904807821985,-0.17498880933246008
0.04,16.51762005840674,293.72910380141496,0.15408515271446058,184.17704645432906,918.9986508479278,-0.18298052559830158
0.05,-9.921490260326678,387.74532054387953,0.14049356266595134,189.02656574727774,839.2373001908495,-0.1903203847677833
0.06,-36.57654487574379,494.57860749195635,0.14529682941773114,186.73288077634436,738.4602315199361,-0.19684853500732147
0.07,-66.5036218118014,605.4503532914617,0.1628300635525254,174.22618722651262,620.1276175912907,-0.20284902066821353
0.08,-93.55487931687752,691.7695726976334,0.1753619271310455,150.57503675319072,489.7788667208789,-0.2087463552053838
0.09,-114.14178555036847,773.6669413832225,0.18775693844130883,116.01687497625062,361.92465444849444,-0.21690413742536435
0.1,-130.09978411626295,845.8088667061936,0.19636877600982938,74.82200269647724,244.09214193234868,-0.23021507093498295
0.11,-140.9904317224989,904.5739952941166,0.19905883399558946,28.17967881482216,110.45105801193928,-0.3264882675293319
0.12,-145.98843322988583,955.2838416330802,0.19505845145843004,-3.6136367006167704,3.585150129018838,-0.413562067213143
0.13,-147.40853871689353,1000.3822983214021,0.1865547143252047,-0.5585670983402778,0.5286254385294543,-0.3091882405160167
0.14,-145.13954697364923,1037.9141177523356,0.17513713734799585,-0.08738342635240993,0.05739131674908163,-0.3034716644344018
0.15,-139.2211667971123,1065.2533446855857,0.16300404111835526,0.04661857708045816,-0.07661790499226354,-0.2971638743063378
0.16,-131.7711301923653,1081.3789812449525,0.15167922738251255,0.09601909928330196,-0.12602010288722743,-0.2900563120501496
0.17,-123.06270688270617,1086.0407951897253,0.14141251267625896,0.10334078858001111,-0.13334214905915226,-0.28202012096521367
0.18,-113.37936984591443,1079.7073867587007,0.13321897253966905,0.08540009042250217,-0.11540142863988767,-0.27305826947393386
0.19,-103.57106615678939,1060.102701101124,0.1283057233567164,0.03257759420455413,-0.0625785728432316,-0.2630487299343269
0.2,-94.12569473075602,1032.577566468223,0.12895667514846387,-0.057067339906786335,0.027066948530926477,-0.2518688559678603
0.21,-85.36591257551217,999.6396355566212,0.13597394406754873,-0.15916243211380682,0.1291625792299308,-0.23955005992570258
0.22,-77.28302945099466,962.428564898644,0.14072717742606972,-0.27768352471327357,0.24768421685467346,-0.22604122754323716
0.23,-70.05033264829304,930.1772140301834,0.13542516792313883,-0.4123904951094066,0.38239172803896143,-0.21129633496912728
0.24,-61.6100142043035,899.7856416886079,0.12537477272603764,-0.5622936767160039,0.5322954288480246,-0.19528894765851154
0.25,-53.91789318238954,871.2408297123194,0.11430911388543936,-0.722240457247075,0.6922426627138437,-0.17809312414208922
0.26,-47.05566395685185,846.3741071052682,0.10295185093180306,-0.943446964485632,0.9134498028835755,-0.15947768401827023
0.27,-41.41856320768387,826.1307812395133,0.09141187356480222,-1.1916442830378868,1.161647716165937,-0.2218030205201462
0.28,-36.91772893356731,810.9982010317972,0.07975732782905955,-1.5541974017053626,1.5242016557613762,-0.20052373847695282
0.29,-32.51244708065657,801.0465290153397,0.06810688651647777,-2.015629051741487,1.9856342554465252,-0.1643647781121096
0.3,-29.26612545112717,796.0280956513404,0.056348620014969944,-2.7616070868526297,2.7316138862330925,-0.12598614376087577
0.31,-25.849421036180015,795.4666990164018,0.04463159079506232,-3.7942671050746997,3.764276099169832,-0.08548425809140814
0.32,-21.796968188416376,799.0884424696211,0.03298727296961147,-5.6778807722875335,5.6478938206189,-0.042602147720953804
