time,marker_marker_hip_r_x,marker_marker_hip_r_y,marker_marker_hip_r_z,marker_marker_hip_l_x,marker_marker_hip_l_y,marker_marker_hip_l_z,marker_marker_shoulder_r_x,marker_marker_shoulder_r_y,marker_marker_shoulder_r_z,marker_marker_shoulder_l_x,marker_marker_shoulder_l_y,marker_marker_shoulder_l_z,marker_marker_knee_r_x,marker_marker_knee_r_y,marker_marker_knee_r_z,marker_marker_ankle_r_x,marker_marker_ankle_r_y,marker_marker_ankle_r_z,marker_marker_heel_r_x,marker_marker_heel_r_y,marker_marker_heel_r_z,marker_marker_toe_r_x,marker_marker_toe_r_y,marker_marker_toe_r_z,marker_marker_knee_l_x,marker_marker_knee_l_y,marker_marker_knee_l_z,marker_marker_ankle_l_x,marker_marker_ankle_l_y,marker_marker_ankle_l_z,marker_marker_heel_l_x,marker_marker_heel_l_y,marker_marker_heel_l_z,marker_marker_toe_l_x,marker_marker_toe_l_y,marker_marker_toe_l_z
0.0,0.02003245470959038,0.9493860950642424,0.03166666667,0.02003245470959038,0.9493860950642424,-0.03166666667,0.07202037821804576,1.5602183822171771,0.05277777778,0.07202037821804576,1.5602183822171771,-0.05277777778,0.1512271548848345,0.564464603829401,0.02111111111,0.2659610320764153,0.1115191734574244,0.02111111111,0.1961182892350761,0.029982776172653484,0.01583333333,0.43103619688090755,0.09479253672921178,0.01583333333,-0.06835423007834603,0.5431937206157783,-0.02111111111,-0.2581575140644146,0.1128851329431994,-0.02111111111,-0.36009921159770275,0.08042117421228111,-0.01583333333,-0.12204076278379572,0.02831643983612081,-0.01583333333
0.01,0.022054286446655736,0.9485897587531609,0.03166666667,0.022054286446655736,0.9485897587531609,-0.03166666667,0.07161562937016769,1.5596237189442652,0.05277777778,0.07161562937016769,1.5596237189442652,-0.05277777778,0.15256970763176794,0.5633891048675457,0.02111111111,0.25803471098707326,0.10778548707242597,0.02111111111,0.1853330965392634,0.028807048793187552,0.01583333333,0.4228763787098416,0.08321217255669801,0.01583333333,-0.06661564803172738,0.5423416711840374,-0.02111111111,-0.26635261118996356,0.11614157969504424,-0.02111111111,-0.36921141980361866,0.08660263995178306,-0.01583333333,-0.13289874091061737,0.02707914719046141,-0.01583333333
0.02,0.024232723688960033,0.9479354901793186,0.03166666667,0.024232723688960033,0.9479354901793186,-0.03166666667,0.07134058418181465,1.5591634973084028,0.05277777778,0.07134058418181465,1.5591634973084028,-0.05277777778,0.1537980104300773,0.5623582323726031,0.02111111111,0.24963867081561208,0.10423376637778103,0.02111111111,0.1744071791686754,0.027687429478289977,0.01583333333,0.4138830414318795,0.07283208352933693,0.01583333333,-0.0638021674844631,0.5414874257749995,-0.02111111111,-0.273921649830157,0.11985027631165374,-0.02111111111,-0.37770581638280765,0.0935862581150324,-0.01583333333,-0.14364887814563404,0.02573290109318932,-0.01583333333
0.03,0.026391980815026684,0.9474304799988393,0.03166666667,0.026391980815026684,0.9474304799988393,-0.03166666667,0.07123885845666025,1.5588285375562725,0.05277777778,0.07123885845666025,1.5588285375562725,-0.05277777778,0.15564279438414755,0.5617077990139139,0.02111111111,0.24068059293669292,0.1009887344911592,0.02111111111,0.1632805013709261,0.026648344860113173,0.01583333333,0.40404394131092036,0.0643271769061651,0.01583333333,-0.059779075053187324,0.5406055253454811,-0.02111111111,-0.28074961586664426,0.1240402118173693,-0.02111111111,-0.3854435562154672,0.10144678016514448,-0.01583333333,-0.15429225679479186,0.02427291689378093,-0.01583333333
0.04,0.02864641267240827,0.9471232691336565,0.03166666667,0.02864641267240827,0.9471232691336565,-0.03166666667,0.07123659893307219,1.5586826720157378,0.05277777778,0.07123659893307219,1.5586826720157378,-0.05277777778,0.15773375778273593,0.5613088446721716,0.02111111111,0.23104463181161453,0.09808539156425988,0.02111111111,0.1519066210347885,0.025586573963783922,0.01583333333,0.3934278895557052,0.05805510100368974,0.01583333333,-0.05442227032344355,0.5397523643918178,-0.02111111111,-0.28663763676153753,0.12879493816592558,-0.02111111111,-0.3921983449956018,0.11033999529932369,-0.01583333333,-0.16482068229309033,0.0226694363867858,-0.01583333333
0.05,0.03114019571513839,0.9470688134894918,0.03166666667,0.03114019571513839,0.9470688134894918,-0.03166666667,0.07126110713775359,1.5587951736259704,0.05277777778,0.07126110713775359,1.5587951736259704,-0.05277777778,0.15911735579790962,0.5608212021343812,0.02111111111,0.22102180015825698,0.09551794980700584,0.02111111111,0.14041678233926236,0.024637009166064185,0.01583333333,0.38245642542396396,0.052983782730689044,0.01583333333,-0.04763503719256032,0.5390080690774193,-0.02111111111,-0.29133206363453523,0.1341754057073905,-0.02111111111,-0.39767154518277653,0.12040299837595089,-0.01583333333,-0.1752305180320072,0.020870501993088486,-0.01583333333
0.06,0.033474460114297985,0.9472248798027162,0.03166666667,0.033474460114297985,0.9472248798027162,-0.03166666667,0.07145423027250868,1.5590879071854267,0.05277777778,0.07145423027250868,1.5590879071854267,-0.05277777778,0.16040958844232653,0.5605752114981,0.02111111111,0.21057891811718643,0.09344470492787627,0.02111111111,0.12877102511819583,0.023933402664744523,0.01583333333,0.3711161180636793,0.049537783566043894,0.01583333333,-0.039254960589094647,0.5383222569463461,-0.02111111111,-0.2946001350369702,0.1401310809743208,-0.02111111111,-0.40155794427223207,0.13164987805246364,-0.01583333333,-0.18555435369706227,0.01882622248888853,-0.01583333333
0.07,0.035316025160065094,0.9475396267664831,0.03166666667,0.035316025160065094,0.9475396267664831,-0.03166666667,0.07190920035416433,1.5594871463696105,0.05277777778,0.07190920035416433,1.5594871463696105,-0.05277777778,0.16212043068325382,0.5608221280916474,0.02111111111,0.1996924871825366,0.0920440655594279,0.02111111111,0.11692369463717528,0.023663065364481733,0.01583333333,0.3593970462869162,0.048022912158640525,0.01583333333,-0.029273625114438304,0.5376994506110491,-0.02111111111,-0.2961647828042544,0.14654602897763203,-0.02111111111,-0.40348054920026777,0.1440000878883356,-0.01583333333,-0.19582087470494838,0.016468962336210785,-0.01583333333
0.08,0.03703745421568543,0.9480471816384939,0.03166666667,0.03703745421568543,0.9480471816384939,-0.03166666667,0.07241234301041133,1.5600663353109643,0.05277777778,0.07241234301041133,1.5600663353109643,-0.05277777778,0.16285083652121596,0.5609619811583918,0.02111111111,0.18871674737676214,0.09101349644495399,0.02111111111,0.10506337783623855,0.0237210302447438,0.01583333333,0.34766131649023696,0.04680714202054219,0.01583333333,-0.017948723389949392,0.5373148376996318,-0.02111111111,-0.29569773778093467,0.15323987798659833,-0.02111111111,-0.40298314625892995,0.15726380412361965,-0.01583333333,-0.20606748371506786,0.013698661275483748,-0.01583333333
0.09,0.038647423201510045,0.9487171970191869,0.03166666667,0.038647423201510045,0.9487171970191869,-0.03166666667,0.07291075621705098,1.5607995862690922,0.05277777778,0.07291075621705098,1.5607995862690922,-0.05277777778,0.16242413684170082,0.5609059676563783,0.02111111111,0.17770331791630234,0.09020807018702481,0.02111111111,0.09319968995439473,0.024002587263773446,0.01583333333,0.3359432182741863,0.04550393268568522,0.01583333333,-0.005661486630201398,0.5372511454434679,-0.02111111111,-0.2929921401753101,0.159824170432037,-0.02111111111,-0.39970022383918646,0.17101755868163543,-0.01583333333,-0.2164964489821274,0.0103218671581293,-0.01583333333
