time,residual_fx,residual_fy,residual_mz,moment_hip_r,moment_knee_r,moment_ankle_r,moment_hip_l,moment_knee_l,moment_ankle_l
0.0,-2.0165998648735695e-07,4.865230209816218e-07,-13.423534251809699,-83.03809076717302,-35.33726863658755,-2.5534419534623205,42.45285817188583,-15.70291068521644,-171.73004842529357
0.01,0.0015731712582010005,-0.0026325097679489318,-17.089325422693065,-27.85356485673323,-12.154963767780023,3.9531336491010016,42.79880712381067,-10.739167828776893,-170.54156455879655
0.02,-0.00391928911946593,-0.11578963274419607,-20.287298473928555,-37.855467664172615,-18.33194661580588,5.123176044420442,41.405810806245704,-6.651840007685294,-167.65127719139687
0.03,-0.006583698119470682,-0.022578182910820033,-22.924075008668208,-29.001580217063967,-17.551064991968225,10.399838043125712,37.60926947185344,-3.3515727827851087,-162.49024148565894
0.04,0.03049057864447491,0.13483229997837043,-24.286938515879733,-39.256448360545846,-9.56900187881042,18.23641745836458,32.89278534388619,-1.1229961161720983,-154.53675719928552
0.05,-0.02955029582162183,-0.32986745875641077,-24.090418017167522,-46.935232774275185,6.67716105362603,23.813226826407394,28.505999920353005,1.0026967397131052,-143.04607909728432
0.06,0.010240562893443439,-0.6933416181554435,-22.988489142292487,-16.48916370211682,21.749945222192714,23.899486074036847,25.174096692429075,3.117499926498734,-127.72260033816664
0.07,0.1597352395006908,0.6121900506122415,-20.736093932231107,3.08706556129708,29.41998354454929,12.544353302769366,22.69312246385224,5.7825386560373495,-108.50063660655567
0.08,0.14717289462561212,0.07108968402326354,-16.58045492148222,-32.4305454479061,29.867021803330225,-4.693769073366083,22.67602800777661,8.905778847777523,-86.0343360676346
0.09,0.10944046419588993,0.2505276868621138,-10.751613689714667,-40.73626932984797,27.406504603211086,-23.95878376508426,26.293962516883383,14.756482723876527,-61.90290055959687
0.1,-0.0375589888571497,0.18793598804465717,-3.537136096820042,-40.30812651289974,25.265201211510732,-42.60957398565765,31.754678979300984,22.948051839245608,-37.72082598756234
0.11,-0.41222201842575146,0.05232325815040184,12.93262193540015,-37.225738016298955,23.70893805087389,-57.95524281972948,36.08460009844377,25.264811329944113,-1.998283157137454
0.12,0.04907041004312873,-0.08704851791152635,10.057137649001753,-31.973576735316417,24.663204029889105,-68.37084146686307,10.656814917845047,-4.302089831025814,10.233627378760279
0.13,0.08656007939316623,-0.06756133798259611,9.74765703959996,-30.225799332812237,26.609496479553734,-75.13477646145199,2.99381713462264,-8.645853167647545,9.24971254540216
0.14,0.20328114784746276,-0.07612325005187692,9.687835735619135,-28.83696658480154,29.41841135504793,-78.80000696088038,10.175296921710444,-5.017193824742517,7.478284971769819
0.15,0.07457942684553132,0.09030184841511257,9.17453920361258,-25.813156322582497,31.576091055878603,-81.20147365466777,20.526521562504275,0.6564783166697588,5.71277778608217
0.16,0.04381530714286441,0.1526696422800704,8.659950022790563,-22.015500050541768,31.990422408554686,-83.63263978545774,20.420497595713513,2.9067039064885414,4.329411952734718
0.17,-0.019561652396390627,0.13779208751074634,8.105763563475747,-20.384582898645093,30.526611010249475,-86.22133223641826,21.402420431831935,7.676946899750195,3.9322419717907846
0.18,-0.09856352160615245,0.02130543231093185,7.448177737073353,-19.181491725671123,26.30364039331684,-90.1701237554301,23.587491887082653,13.41672147034868,4.93234293550204
0.19,-0.2207379336029618,0.15028600487288202,6.830493853192685,-19.27095203041921,18.418880166386295,-96.2789142187743,25.577078753272122,22.93357146724525,5.24790577583029
0.2,-0.28209282436073124,-0.09272733887224494,6.142264860393077,-21.422958607372664,5.608899186579091,-107.03134800137623,26.76737149755407,32.32634272627791,5.730478626691326
0.21,-0.1263813714396207,-0.11822924357500852,5.575467361308263,-24.463392755672302,-11.889530309869974,-122.50149896176839,27.072583391328088,32.24768137687652,5.815274619194787
0.22,-0.15478072880789284,-0.17452867805623384,5.1629359932345835,-31.951849235261253,-27.059268117818785,-133.20278461848187,26.582657237884685,30.840391951626113,5.066825927143594
0.23,-0.016647483487375325,-0.19376549118264563,4.855149497608394,-37.40813301477269,-32.88065268855428,-134.09913888055323,26.02591777540537,27.08792430284063,4.268332805605105
0.24,0.03559866372347642,-0.09144468502441327,4.389673679868245,-37.25854298426719,-34.150057116820726,-131.3506427420621,25.448878719745007,21.517101240765857,3.46701493397707
0.25,0.09440147325811665,-0.03879725779944465,3.9650226732312497,-33.42920371167374,-34.07382773083215,-128.10408639730687,24.733283906874973,16.09093611760801,3.7297018397774107
0.26,-0.055661798802297824,-0.06377760861170145,3.494735678439268,-32.18773855577827,-34.197302214156906,-125.03353960826327,23.828388912832892,13.670950680724088,1.4255507678271682
0.27,0.12783788692527054,0.026083823582581545,3.325378161730487,-26.591200070622754,-33.71181595402272,-122.40574327787247,23.171641567309443,8.86338918513714,2.868235002512373
0.28,-0.022783116358837674,-0.007384875838823746,3.044379982775056,-15.0281936740827,-32.083130628013045,-120.39287033277175,22.429767655763367,10.062280037585237,2.6031504961866645
0.29,0.05115015584927107,0.04973877084719902,2.8346133416097885,0.4853790187157827,-29.988675065444117,-119.13767678797403,21.423720379941642,7.044264544901239,3.638662986684968
0.3,0.0017604282624432699,-0.0016503083341774527,2.6991312020297755,7.672435838257098,-28.259364601205377,-118.36825689201343,20.099518691526345,6.2236578649397964,2.7514881196953875
0.31,-0.0009922354172644532,-0.01088509345444777,2.5871797988737484,12.83384723986899,-26.55340849714477,-118.25999715966607,18.86355971816702,2.0686792211612186,3.500925871777442
0.32,0.006642452690520884,-0.11352965323487751,2.520540980359506,2.5758907187296294,-27.520323537275807,-118.90919483892527,16.536508465333405,4.5306768178574135,3.1516919436437383
0.33,0.06037360154592619,0.07040797827642109,2.5923096779511283,-17.390453915526336,-30.038960706619015,-120.11585070349881,15.146041255978716,7.429874799816929,3.5823323887563805
0.34,0.005096373685852029,-0.08639283400830777,2.189694095134108,-5.772851029261641,-29.800054014931987,-122.31764319440227,13.461998592514327,5.948458213973893,4.26076240239075
0.35000000000000003,0.08088370391034161,0.20302975771741671,1.5570259388419316,12.074220814609024,-28.397196516251427,-125.05925396450526,10.661485472661354,7.048500670042613,3.0269520631397877
0.36,0.11649539790824548,0.19842990761952706,0.6705711350698138,15.63558756093698,-29.362182928091237,-128.45286776801794,4.600989324249234,-0.3478440380870298,2.285425389361883
0.37,0.029648096084508913,0.32437391129553816,-0.22221942305345266,17.757593874204233,-30.7322991947763,-132.1654454257384,-8.760160655996735,-7.419639760139388,3.6686070640539308
0.38,-0.17016513599590866,0.3454431462351977,-1.0794339939088786,21.463028605243295,-31.570875816764527,-136.17165479587925,-25.93454517231363,-16.21531112237836,3.6521224041246514
0.39,-0.21133408360768868,0.5098966087327312,-1.7788764781300728,25.885559260198807,-31.965824707633736,-140.42856353611418,-40.60897303935832,-25.143178733420267,1.794028407457518
0.4,-0.28617427908604043,0.25412193600566013,-2.7177453943763936,28.31177495342303,-32.87058583168643,-145.0550139026499,-54.5713218473918,-34.42089363899836,1.0613510761364444
0.41000000000000003,-0.13914205835692428,-0.008029183065971779,-3.666534079533264,29.678105128135865,-33.76078503970364,-149.83336393806903,-65.86086324647705,-42.04977672460452,0.051443852290489644
0.42,-0.15192388391330525,-0.3158231312218831,-4.7158890649555545,31.598796122077808,-33.57927339887728,-154.40009458490826,-76.22444594687514,-48.11877613237778,-0.9175532477809147
0.43,0.03820927842754429,-0.3639151107024343,-5.613584227960089,34.12095526870134,-32.25306018841151,-158.63749175339484,-82.24321326712254,-52.88020956919921,-4.099548283584355
0.44,0.16541875806861128,-0.48652193205918337,-6.661337589029266,37.0999274978631,-30.37604352064238,-162.48531728711575,-81.52561007428594,-54.91093293639215,-5.670943420890223
0.45,0.2779038596293901,-0.5732880061857983,-7.804598773278926,39.74782333155585,-27.794248133019227,-165.81479968645246,-75.33230716885534,-54.587128952536524,-7.003548051997912
0.46,0.2418067221434086,-0.5451149857061921,-9.11396547564729,41.22032927854588,-24.577946168394156,-168.54295546144334,-67.62932684480526,-51.70590577358506,-7.325314804644053
0.47000000000000003,0.1067197279174934,-0.3562025181358166,-10.531302973238958,41.72550211879102,-21.05252011727253,-170.51730262137698,-59.30223037515367,-45.96286795702922,-5.877708248121397
0.48,-0.1789487621511796,0.25216451761751557,-12.46517108680657,41.87357408210589,-16.96476629487072,-171.4693901578841,-56.830355251706976,-38.60295840808226,-3.3982069554959073
0.49,-0.27941362235688416,0.5594619743603175,-15.43488432059345,42.4373709579633,-12.545389372735126,-171.11314492278763,-54.77015695950518,-23.19279158581808,1.2419634726326065
0.5,0.014984908743400638,-0.20727928555109543,-19.129779157992047,42.51948118575433,-8.324643241748003,-169.10493715582797,-50.82335700581745,-18.37779063133882,3.752972169153658
0.51,-0.023844403697921734,-0.16592196273663262,-21.988324836613543,40.91631196629875,-4.505257811007667,-164.88106119670354,-49.790422884517525,-20.736803929973096,6.958558849905886
0.52,-0.04315707940989455,-0.38251326646721395,-23.929823883567337,37.419733905509226,-1.7642118809829874,-158.17754312159028,-41.605529203385416,-14.914959481831612,14.403203202411262
0.53,-0.0023220996730231036,-0.04192126384262451,-24.482480897840922,32.93188914816059,0.38094130437526985,-148.31721681950808,-35.35079462089101,-0.43351233146443746,21.862810891027507
